# Per-file real macOS bats wall time (seconds), used by shard-tests.sh to
# weight the CI partition by measured cost instead of @test count (#1243).
# @test count is a loose, occasionally blind proxy for a file's real cost:
# a file whose time is almost entirely waiting (background processes, poll
# loops) can carry a tiny count while dominating its shard's wall clock, and
# a file that is merely large in @test count is not necessarily slow. This
# table sidesteps the proxy by using each file's own measured time directly.
#
# MEASURED AGAINST: GitHub Actions run 35563098757 (main, tests.yml bats
# job, macos-latest, 5 shards, 2026-09-21). Every shard in that run
# completed (none timed out), so every file below has a real file_end
# record -- summed from the run's 5 bats-timings-macos-latest-* artifacts
# (file_end rows only, macOS only).
#
# PREVIOUS MEASUREMENT: run 34845597032, 2026-09-14. Refreshing against
# this run brought the heaviest of the current 5 shards from 1132s down to
# 839s (#1304 CI-capacity work: the shard split itself was fine, this table
# had just gone stale -- see that run's own per-file numbers for detail).
# The suite's total real time also fell in this window (old table sum
# 6249s over the files common to both tables vs 4173s now), and that fall
# is two real perf fixes, not broad drift: test_remote_engine_start_refusal.bats
# 660s->43s and test_remote_status_liveness.bats 346s->80s are both #1252
# (shortened the two slowest tests' production-readiness wait). A third
# file, test_watch.bats, measured 317s->2s in this same run -- that IS a
# real 2s today (the file is quarantined as a whole for #1262, setup()
# skips every test unconditionally, see that row's own comment), not a
# stale or misleading number: this table's job is to weight the partition
# by what a file actually costs the CURRENT run, and 2s is what it costs
# while quarantined. (A pre-quarantine 317s was pinned here briefly and
# reverted -- it made the on-paper balance look nicer but actively
# unbalanced the real schedule, handing ~315s of work to a shard that
# would not actually spend it; review finding, see the row's own comment
# for the reasoning #1318 needs when it un-quarantines the file.) Every
# other file moved by single-digit seconds either way. So this window's
# imbalance was not organic, even drift -- it was two real fixes plus one
# quarantine, and neither is the kind of thing that keeps happening on a
# schedule; each only moves this table when something specific (a perf
# fix, a quarantine, an un-quarantine) actually happens to a file.
# Update-on-notice, prompted by exactly that kind of change, stays the
# right call -- no scheduled or automated refresh needed.
#
# A file with no row here (renamed, or added after this measurement) is
# estimated at this table's own average seconds/file by shard-tests.sh,
# never treated as zero-cost or dropped from the partition -- coverage does
# not depend on this table being current. tests/test_ci_sharding.bats's
# balance-ratio assertion checks the computed partition against THIS
# table's own numbers, not against a live run, so it cannot detect this
# table drifting out of sync with reality -- only a human noticing a real
# run's shard skew (as happened here) triggers a refresh. Refresh by
# re-running this extraction against a green run's bats-timings artifacts.
#
# Columns: basename<TAB>seconds. Sorted by basename for a legible diff.
test_self_write.bats	42
test_self_write_lock.bats	35
test_session_start_terminal_line.bats	12
test_setup.bats	1
test_shquote.bats	1
test_spawn.bats	425
test_spawn_fd_guard.bats	0
test_spawn_options.bats	2
test_sqlite_crlf.bats	10
test_sqlite_sync_jq_binary.bats	9
test_storage.bats	30
test_storage_contract.bats	32
test_sweep_enumeration.bats	9
test_sync_autostart.bats	21
test_sync_cipher.bats	5
test_team.bats	185
test_team_guidance_usage.bats	0
test_team_list.bats	23
test_team_status.bats	14
test_teardown_reap.bats	3
test_terminal_context_line.bats	1
test_terminal_registry.bats	81
test_token_locate.bats	3
test_transcript_exists.bats	2
test_type_registry.bats	35
test_unguarded_env_reads.bats	2
test_wait_helpers.bats	41
# 2s is real, not stale -- the whole file is quarantined for #1262
# (setup() skips every test unconditionally, tracked by #1318), so this is
# what it actually costs THIS run, which is what this table exists to
# reflect (a pinned pre-quarantine value was tried and reverted: it gave a
# nicer-looking on-paper balance but actively unbalanced the real schedule,
# handing 315s of imaginary work to whichever shard it landed in while that
# shard really finished ~300s early). #1318 must re-measure and update this
# row when it un-quarantines the file -- until then, reuse 2, not a stale
# pre-quarantine number.
test_watch.bats	2
test_watch_install_changed.bats	34
test_watch_once.bats	53
test_watch_process_count.bats	18
test_watch_stuck_map.bats	4
test_where.bats	2
